case_a,case_b,case_number_a,case_number_b,input_distribution_distance,stress_distribution_distance,response_profile_distance,stress_p95_relative_difference,stress_p99_relative_difference,stress_max_relative_difference,input_distribution_distance_percentile,stress_distribution_distance_percentile,response_profile_distance_percentile,combined_distance_percentile_score,rank_of_b_from_a,rank_of_a_from_b,similarity_candidate,provisional_practical_screen
case_69,case_199,69,199,0.8530761050658816,0.6153851211731128,0.7334016225197146,0.10401070153442128,0.1193086916021614,0.09897446709470402,0.19836556519973605,0.3410486777320948,0.31155778894472363,0.2836573439588515,78,72,False,difference_exceeds_integrated_presplit_screen
case_159,case_181,159,181,0.9948117301681252,0.1887571998336617,0.8910072378189609,0.07628728224385198,0.012984662597735603,0.03782205739039618,0.30470534490634993,0.06938734074412467,0.4768793462260799,0.2836573439588515,59,50,False,difference_exceeds_integrated_presplit_screen
case_20,case_196,20,196,0.7323834784660492,0.9462718174417141,0.6361052066124526,0.18619415238693862,0.20372972626996247,0.19556743202493748,0.1238515811380133,0.5140348205674838,0.21328866554997208,0.28372502241848974,64,74,False,difference_exceeds_integrated_presplit_screen
case_96,case_125,96,125,1.1721671206017374,0.10649211844554583,0.8020603220495219,0.007918534002442112,0.009169595651740822,0.06144479527787536,0.44358154408405664,0.019998984823105425,0.3875945383483072,0.28372502241848974,32,58,False,difference_exceeds_integrated_presplit_screen
case_35,case_154,35,154,1.4790051258189354,0.22524462333461162,0.4994348109446332,0.009089490612179917,0.032581449713045135,0.10304441251147868,0.6556012385158114,0.0943606923506421,0.10121313638901579,0.2837250224184898,6,20,False,difference_exceeds_integrated_presplit_screen
case_86,case_131,86,131,1.0404051573858704,0.16466311069119688,0.8718100509087,0.022455218801460987,0.04100875554677164,0.005794634833813613,0.3404395715953505,0.05365209887822953,0.457286432160804,0.283792700878128,20,55,False,difference_exceeds_integrated_presplit_screen
case_06,case_49,6,49,1.1949264617054243,0.13955902949532517,0.7693970164803134,0.012823858983609807,0.024178630501922187,0.05691952545296972,0.45977361555251,0.038424445459621336,0.35323080046698135,0.28380962049303754,32,60,False,difference_exceeds_integrated_presplit_screen
case_03,case_47,3,47,1.033328372318659,0.7434318030993825,0.5077563171723658,0.13060644588356204,0.13918786352380158,0.21819551760441883,0.3343992690726359,0.41053753616567684,0.10659357393025735,0.2838434597228567,64,58,False,difference_exceeds_integrated_presplit_screen
case_90,case_190,90,190,0.9516289599090466,0.10335122515134221,0.990106272170242,0.027398325602562907,0.026031840040714974,0.007722735184826993,0.2699355362671946,0.018933049083802854,0.5627633115070301,0.2838772989526758,37,56,False,difference_exceeds_integrated_presplit_screen
case_16,case_191,16,191,0.8349940916589917,0.8262522505720388,0.6366377146103066,0.1772733027889155,0.181011430098601,0.15115332973528917,0.18567585401756256,0.4520582711537485,0.2139992893761738,0.28391113818249497,71,67,False,difference_exceeds_integrated_presplit_screen
